0 15 0
0 -9.5 0
0 -9.5 0
0 -9.5 0
0 -9.5 0
0 -9.5 0
0 -9.5 0
0 -9.5 -1.98035e-27
0 -9.5 -6.46451e-27
0 -9.5 -1.07465e-26
0 -9.5 -1.4382e-26
0 -9.5 -1.93904e-26
0 -9.5 -2.48832e-26
0 -9.5 -3.17489e-26
0 -9.5 -3.84125e-26
0 -9.5 -4.55603e-26
0 -9.5 -5.54128e-26
0 -9.5 -6.62324e-26
0 -9.5 -8.1171e-26
0 -9.5 -1.00229e-25
0 -9.5 -1.23405e-25
0 -9.5 -1.52073e-25
0 -9.5 -1.92939e-25
0 -9.5 -2.37236e-25
0 -9.5 -2.87026e-25
0 -9.5 -3.38225e-25
0 -9.5 -3.86838e-25
0 -9.5 -4.45466e-25
0 -9.5 -5.03285e-25
0 -9.5 -5.58518e-25
0 -9.5 -6.19243e-25
0 -9.5 -6.85461e-25
0 -9.5 -7.49092e-25
0 -9.5 -8.18215e-25
0 -9.5 -8.9283e-25
0 -9.5 -9.69382e-25
0 -9.5 -1.04513e-24
0 -9.5 -1.12281e-24
0 -9.5 -1.20496e-24
0 -9.5 -1.27783e-24
0 -9.5 -1.3414e-24
0 -9.5 -1.40336e-24
0 -9.5 -1.4735e-24
0 -9.5 -1.55189e-24
0 -9.5 -1.63851e-24
